faixa_elo,Opening,contagem_abertura
500,Van't Kruijs Opening,451
500,King's Pawn Game: Wayward Queen Attack,407
500,Scandinavian Defense,373
1000,Van't Kruijs Opening,38342
1000,Scandinavian Defense,26794
1000,King's Pawn Game: Wayward Queen Attack,23648
1500,Van't Kruijs Opening,81807
1500,Scandinavian Defense: Mieses-Kotroc Variation,78547
1500,Modern Defense,73167
2000,Modern Defense,16651
2000,Horwitz Defense,13411
2000,Queen's Pawn,12232
2500,Hungarian Opening,326
2500,Van't Kruijs Opening,324
2500,Modern Defense,318
3000,Nimzo-Larsen Attack,5
3000,Zukertort Opening: Kingside Fianchetto,3
3000,Nimzo-Larsen Attack: Indian Variation,1