Event,Termination,TotalPartidas
Blitz,Normal,1693161
Blitz,Time forfeit,645205
Blitz,Rules infraction,10
Blitz tournament,Normal,326688
Blitz tournament,Time forfeit,138966
Blitz tournament,Abandoned,6414
Blitz tournament,Rules infraction,3
Bullet,Time forfeit,633080
Bullet,Normal,564573
Bullet,Rules infraction,1
Bullet tournament,Time forfeit,314386
Bullet tournament,Normal,228702
Bullet tournament,Abandoned,3531
Classical,Normal,1260005
Classical,Time forfeit,248980
Classical,Rules infraction,90
Classical tournament,Normal,137315
Classical tournament,Time forfeit,24838
Classical tournament,Abandoned,3341
Classical tournament,Rules infraction,13
Correspondence,Normal,17480
Correspondence,Time forfeit,4724
Correspondence,Rules infraction,7